Rk,G,Date,Age,Tm,,Opp,W/L,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
1,1,11/2/05,27-071,LAL,@,DEN,W (+2),1,43:45:00,13,28,0.464,0,1,0,7,7,1,0,5,5,4,1,2,6,4,33,17.7,6
2,2,11/3/05,27-072,LAL,,PHO,L (-10),1,41:11:00,13,26,0.5,0,2,0,13,14,0.929,2,5,7,5,0,0,3,3,39,27.8,4
3,3,11/6/05,27-075,LAL,,DEN,W (+20),1,42:18:00,16,31,0.516,0,0,,5,5,1,3,5,8,5,0,1,4,2,37,24.7,24
4,4,11/8/05,27-077,LAL,@,ATL,W (+6),1,37:33:00,15,26,0.577,0,0,,7,11,0.636,1,2,3,5,1,1,1,5,37,26.7,12
5,5,11/9/05,27-078,LAL,@,MIN,L (-14),1,40:55:00,12,26,0.462,0,0,,4,6,0.667,1,3,4,4,1,0,3,0,28,16.2,-11
6,6,11/11/05,27-080,LAL,@,PHI,L (-4),1,40:40:00,7,27,0.259,0,2,0,3,4,0.75,3,6,9,7,1,0,3,4,17,5.7,-2
7,7,11/14/05,27-083,LAL,@,MEM,L (-12),1,34:00:00,7,18,0.389,0,0,,4,4,1,0,3,3,2,0,1,4,3,18,6,-27
8,8,11/16/05,27-085,LAL,,NYK,W (+5),1,44:00:00,15,36,0.417,0,1,0,12,14,0.857,3,2,5,3,2,1,0,3,42,28.3,6
9,9,11/18/05,27-087,LAL,,LAC,L (-6),1,43:28:00,12,35,0.343,1,6,0.167,11,12,0.917,1,3,4,5,0,0,2,2,36,18.2,-3
10,10,11/20/05,27-089,LAL,,CHI,L (-3),1,46:06:00,17,34,0.5,1,4,0.25,8,12,0.667,1,5,6,3,2,0,3,3,43,26.5,-5
11,11,11/24/05,27-093,LAL,,SEA,W (+12),1,38:46:00,12,26,0.462,4,5,0.8,6,8,0.75,1,1,2,5,0,0,2,4,34,20.7,15
12,12,11/27/05,27-096,LAL,,NJN,L (-6),1,49:31:00,14,36,0.389,4,12,0.333,14,16,0.875,0,3,3,3,2,0,5,5,46,23.6,-10
13,13,11/29/05,27-098,LAL,@,SAS,L (-6),1,41:24:00,9,33,0.273,0,6,0,7,8,0.875,1,3,4,0,4,1,3,0,25,8.4,-7
14,14,12/1/05,27-100,LAL,@,UTA,W (+4),1,44:20:00,11,31,0.355,2,6,0.333,6,9,0.667,2,5,7,3,2,0,2,6,30,14.1,1
15,15,12/2/05,27-101,LAL,,MIN,L (-5),1,41:25:00,9,16,0.563,1,3,0.333,1,2,0.5,3,6,9,8,2,1,1,0,20,23.2,-3
16,16,12/4/05,27-103,LAL,,CHA,W (+1),1,40:15:00,9,30,0.3,0,4,0,11,12,0.917,2,4,6,4,1,0,2,3,29,14.4,11
17,17,12/6/05,27-105,LAL,@,MIL,W (+19),1,40:42:00,14,24,0.583,0,2,0,5,5,1,1,4,5,6,1,1,2,1,33,27.2,19
