Rk,G,Date,Age,Tm,,Opp,W/L,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
1,1,10/27/09,31-065,LAL,,LAC,W (+7),1,38:20:00,11,26,0.423,0,1,0,11,12,0.917,4,4,8,3,4,1,2,2,33,26.8,9
2,2,10/30/09,31-068,LAL,,DAL,L (-14),1,37:27:00,6,19,0.316,1,4,0.25,7,9,0.778,3,3,6,2,0,0,3,2,20,8.9,-20
3,3,11/1/09,31-070,LAL,,ATL,W (+8),1,37:38:00,15,29,0.517,1,2,0.5,10,11,0.909,3,5,8,3,5,0,3,4,41,32.4,12
4,4,11/3/09,31-072,LAL,@,OKC,W (+3),1,45:41:00,9,22,0.409,1,3,0.333,12,14,0.857,1,5,6,4,3,1,7,5,31,18.1,5
5,5,11/4/09,31-073,LAL,@,HOU,W (+1),1,48:29:00,15,30,0.5,0,3,0,11,15,0.733,1,5,6,4,4,0,2,2,41,30.6,2
6,6,11/6/09,31-075,LAL,,MEM,W (+16),1,33:39:00,19,30,0.633,0,0,,3,4,0.75,1,3,4,1,1,0,0,2,41,29.7,16
7,7,11/8/09,31-077,LAL,,NOH,W (+16),1,33:42:00,11,21,0.524,0,2,0,6,6,1,0,2,2,1,1,0,5,3,28,13.8,20
8,8,11/12/09,31-081,LAL,,PHO,W (+19),1,32:34:00,13,21,0.619,0,0,,3,4,0.75,1,3,4,4,0,0,4,4,29,17.9,24
9,9,11/13/09,31-082,LAL,@,DEN,L (-26),1,33:41:00,7,17,0.412,1,3,0.333,4,4,1,2,1,3,2,1,0,4,1,19,9.6,-14
10,10,11/15/09,31-084,LAL,,HOU,L (-10),1,38:38:00,5,20,0.25,0,3,0,8,9,0.889,1,0,1,3,3,0,4,0,18,7.4,-7
11,11,11/17/09,31-086,LAL,,DET,W (+13),1,39:13:00,17,29,0.586,1,3,0.333,5,5,1,4,1,5,5,3,0,3,5,40,31.1,18
12,12,11/19/09,31-088,LAL,,CHI,W (+15),1,37:47:00,7,21,0.333,0,2,0,7,8,0.875,1,8,9,8,0,1,2,3,21,14.9,17
13,13,11/22/09,31-091,LAL,,OKC,W (+16),1,32:16:00,11,23,0.478,0,2,0,4,4,1,2,4,6,7,2,0,0,1,26,23.4,30
14,14,11/24/09,31-093,LAL,,NYK,W (+10),1,40:40:00,14,20,0.7,1,4,0.25,5,7,0.714,0,5,5,4,3,0,4,0,34,28.1,25
15,15,11/28/09,31-097,LAL,@,GSW,W (+33),1,32:21:00,8,20,0.4,1,3,0.333,3,3,1,2,4,6,6,5,0,2,3,20,17.8,18
16,16,11/29/09,31-098,LAL,,NJN,W (+19),1,28:40:00,11,17,0.647,5,8,0.625,3,5,0.6,0,8,8,7,2,1,4,5,30,25.7,25
17,17,12/1/09,31-100,LAL,,NOH,W (+11),1,32:31:00,5,11,0.455,2,5,0.4,6,6,1,0,3,3,4,2,0,1,3,18,15.8,16
18,18,12/4/09,31-103,LAL,,MIA,W (+1),1,42:18:00,12,25,0.48,2,3,0.667,7,8,0.875,3,4,7,3,3,0,2,5,33,24.3,4
19,19,12/6/09,31-105,LAL,,PHO,W (+20),1,35:54:00,9,16,0.563,2,4,0.5,6,8,0.75,2,5,7,3,1,0,1,2,26,21.8,12
20,20,12/9/09,31-108,LAL,,UTA,W (+24),1,37:49:00,10,19,0.526,1,3,0.333,6,8,0.75,0,6,6,8,2,2,2,2,27,24.9,14
21,21,12/11/09,31-110,LAL,,MIN,W (+12),1,34:00:00,8,18,0.444,1,3,0.333,3,4,0.75,0,5,5,5,1,0,4,2,20,11.4,3
22,22,12/12/09,31-111,LAL,@,UTA,L (-8),1,36:43:00,7,24,0.292,1,9,0.111,1,1,1,1,5,6,5,1,0,1,2,16,6.9,6
23,23,12/15/09,31-114,LAL,@,CHI,W (+9),1,39:06:00,15,26,0.577,1,5,0.2,11,15,0.733,0,2,2,3,3,0,8,2,42,25.1,-3
24,24,12/16/09,31-115,LAL,@,MIL,W (+1),1,49:59:00,13,28,0.464,1,3,0.333,12,12,1,0,7,7,4,0,0,7,4,39,20.9,2
25,25,12/19/09,31-118,LAL,@,NJN,W (+19),1,35:02:00,12,23,0.522,1,5,0.2,4,6,0.667,2,8,10,5,2,1,2,3,29,23.7,24
