Rk,G,Date,Age,Tm,,Opp,W/L,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
1,1,10/26/10,32-064,LAL,,HOU,W (+2),1,37:04:00,8,20,0.4,0,3,0,11,12,0.917,0,5,5,7,1,0,1,1,27,21.8,-8
2,2,10/29/10,32-067,LAL,@,PHO,W (+8),1,33:54:00,9,19,0.474,2,5,0.4,5,5,1,1,6,7,3,0,0,3,1,25,16.5,9
3,3,10/31/10,32-069,LAL,,GSW,W (+24),1,26:59:00,8,16,0.5,1,4,0.25,3,4,0.75,2,5,7,2,0,0,4,1,20,11.5,21
4,4,11/2/10,32-071,LAL,,MEM,W (+19),1,25:46:00,7,13,0.538,3,5,0.6,6,8,0.75,1,4,5,1,1,0,2,2,23,16.7,6
5,5,11/3/10,32-072,LAL,@,SAC,W (+12),1,36:28:00,9,22,0.409,3,6,0.5,9,10,0.9,1,9,10,12,1,0,1,2,30,28.8,22
6,6,11/5/10,32-074,LAL,,TOR,W (+5),1,34:22:00,6,12,0.5,0,3,0,11,12,0.917,0,4,4,6,3,1,3,2,23,21.9,1
7,7,11/7/10,32-076,LAL,,POR,W (+25),1,24:49:00,3,11,0.273,0,2,0,6,7,0.857,0,2,2,1,0,1,3,4,12,2.5,18
8,8,11/9/10,32-078,LAL,,MIN,W (+5),1,34:45:00,12,28,0.429,2,5,0.4,7,8,0.875,2,4,6,2,2,0,4,2,33,19,1
9,9,11/11/10,32-080,LAL,@,DEN,L (-6),1,41:01:00,11,32,0.344,3,10,0.3,9,13,0.692,1,2,3,5,1,0,2,4,34,16.6,4
10,10,11/14/10,32-083,LAL,,PHO,L (-5),1,38:20:00,11,20,0.55,1,4,0.25,2,2,1,2,7,9,14,1,0,8,3,25,20.5,-8
11,11,11/16/10,32-085,LAL,@,MIL,W (+11),1,33:18:00,10,23,0.435,0,4,0,11,11,1,0,7,7,3,1,0,3,2,31,20.3,3
12,12,11/17/10,32-086,LAL,@,DET,W (+13),1,31:44:00,11,20,0.55,3,6,0.5,8,8,1,1,8,9,4,2,0,3,1,33,27.9,24
13,13,11/19/10,32-088,LAL,@,MIN,W (+17),1,31:24:00,8,27,0.296,1,4,0.25,6,7,0.857,1,7,8,2,1,1,4,1,23,8.4,8
14,14,11/21/10,32-090,LAL,,GSW,W (+28),1,26:39:00,7,16,0.438,0,2,0,6,6,1,3,3,6,5,0,0,0,3,20,16.9,21
15,15,11/23/10,32-092,LAL,,CHI,W (+7),1,37:11:00,8,18,0.444,1,2,0.5,3,3,1,0,2,2,5,1,0,4,1,20,11.3,3
16,16,11/26/10,32-095,LAL,@,UTA,L (-6),1,33:40:00,10,21,0.476,3,5,0.6,8,9,0.889,1,2,3,3,1,0,3,2,31,20.5,1
17,17,11/28/10,32-097,LAL,,IND,L (-3),1,39:50:00,14,33,0.424,3,8,0.375,10,13,0.769,2,3,5,4,0,0,3,2,41,23.6,-1
