Rk,G,Date,Age,Tm,,Opp,W/L,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
1,1,10/31/00,22-069,LAL,@,POR,W (+10),1,34:54:00,4,11,0.364,0,1,0,6,6,1,0,2,2,2,1,1,7,4,14,3,8
2,2,11/1/00,22-070,LAL,,UTA,L (-5),1,37:03:00,9,21,0.429,1,2,0.5,12,13,0.923,1,3,4,5,0,1,2,3,31,22.1,7
3,3,11/4/00,22-073,LAL,@,VAN,W (+9),1,40:18:00,9,20,0.45,1,1,1,3,4,0.75,2,3,5,2,5,2,6,3,22,14.1,9
4,4,11/5/00,22-074,LAL,,LAC,W (+5),1,41:17:00,6,14,0.429,2,4,0.5,7,7,1,0,5,5,6,0,0,2,2,21,16.5,14
5,5,11/7/00,22-076,LAL,@,HOU,L (-10),1,47:04:00,7,16,0.438,1,3,0.333,0,1,0,1,2,3,3,2,1,1,3,15,10.1,-12
6,6,11/8/00,22-077,LAL,@,SAS,L (-10),1,45:37:00,15,31,0.484,1,3,0.333,1,1,1,1,2,3,8,3,0,3,1,32,22.8,-2
7,7,11/12/00,22-081,LAL,,HOU,W (+6),1,44:10:00,12,29,0.414,1,1,1,12,15,0.8,3,7,10,2,3,0,2,5,37,24.9,3
8,8,11/14/00,22-083,LAL,,DEN,W (+16),1,39:01:00,12,23,0.522,1,3,0.333,6,6,1,3,1,4,9,2,1,4,4,31,25.5,24
9,9,11/16/00,22-085,LAL,@,SAC,W (+2),1,49:25:00,9,23,0.391,1,5,0.2,12,12,1,1,9,10,3,0,1,3,4,31,20.1,6
10,10,11/18/00,22-087,LAL,@,DEN,L (-1),1,43:59:00,10,25,0.4,3,6,0.5,9,10,0.9,1,4,5,4,0,1,3,2,32,19.7,-7
11,11,11/19/00,22-088,LAL,,CHI,W (+8),1,39:21:00,8,22,0.364,0,2,0,6,9,0.667,1,11,12,3,1,0,2,2,22,12.9,11
12,12,11/22/00,22-091,LAL,,GSW,W (+20),1,30:20:00,13,19,0.684,2,3,0.667,3,4,0.75,1,3,4,7,1,0,8,2,31,21.2,24
13,13,11/24/00,22-093,LAL,,MIN,W (+7),1,37:39:00,12,20,0.6,1,2,0.5,4,5,0.8,1,3,4,5,1,0,4,2,29,20.7,12
14,14,11/27/00,22-096,LAL,@,LAC,W (+15),1,32:24:00,10,19,0.526,2,4,0.5,7,7,1,2,5,7,4,1,0,1,3,29,24.2,19
15,15,11/28/00,22-097,LAL,,IND,W (+17),1,36:56:00,11,24,0.458,3,6,0.5,12,12,1,1,3,4,5,4,0,2,3,37,30.5,34
16,16,11/30/00,22-099,LAL,@,SEA,L (-33),1,37:15:00,6,16,0.375,0,4,0,5,5,1,1,2,3,4,3,0,6,5,17,7.3,-25
17,17,12/1/00,22-100,LAL,,SAS,W (+9),1,44:39:00,16,31,0.516,2,4,0.5,9,10,0.9,1,2,3,6,1,0,3,3,43,29.6,8
18,18,12/3/00,22-102,LAL,,DAL,W (+2),1,44:58:00,15,28,0.536,1,3,0.333,7,9,0.778,4,6,10,6,2,2,6,4,38,28.2,1
19,19,12/5/00,22-104,LAL,,PHI,W (+11),1,43:58:00,15,28,0.536,1,4,0.25,5,5,1,0,1,1,4,0,1,2,4,36,22.6,15
20,20,12/6/00,22-105,LAL,@,GSW,L (-3),1,51:16:00,18,35,0.514,2,7,0.286,13,13,1,3,4,7,8,2,1,8,4,51,35.7,-2
21,21,12/8/00,22-107,LAL,,SEA,L (-8),1,39:48:00,8,25,0.32,0,1,0,3,5,0.6,0,4,4,2,3,1,2,4,19,6.6,-12
22,22,12/10/00,22-109,LAL,,DET,W (+24),1,33:30:00,11,21,0.524,2,5,0.4,2,2,1,1,3,4,9,1,1,1,2,26,23.5,23
23,23,12/12/00,22-111,LAL,,MIL,L (-4),1,41:26:00,8,31,0.258,3,10,0.3,6,7,0.857,2,4,6,6,2,0,3,3,25,10.7,5
24,24,12/13/00,22-112,LAL,@,POR,L (-10),1,45:09:00,13,25,0.52,0,2,0,9,13,0.692,1,5,6,6,2,0,1,5,35,26.5,-8
25,25,12/15/00,22-114,LAL,,VAN,W (+22),1,34:33:00,7,18,0.389,1,3,0.333,2,2,1,1,3,4,1,1,1,3,2,17,7.4,19
26,26,12/17/00,22-116,LAL,@,TOR,W (+3),1,51:38:00,14,29,0.483,1,5,0.2,11,11,1,1,6,7,4,0,3,2,3,40,29.5,1
27,27,12/19/00,22-118,LAL,@,MIA,W (+2),1,45:15:00,9,24,0.375,0,2,0,5,8,0.625,2,3,5,6,0,0,3,4,23,10.5,5
28,28,12/21/00,22-120,LAL,@,HOU,W (+5),1,43:52:00,20,26,0.769,1,1,1,4,6,0.667,3,1,4,3,1,0,1,1,45,38.1,-2
29,29,12/22/00,22-121,LAL,@,DAL,W (+5),1,46:21:00,12,20,0.6,1,1,1,10,10,1,1,3,4,4,0,0,5,5,35,23.2,6
30,30,12/25/00,22-124,LAL,,POR,L (-5),1,45:32:00,9,20,0.45,0,4,0,11,14,0.786,0,2,2,6,2,0,2,6,29,19.8,1
31,31,12/28/00,22-127,LAL,@,PHO,W (+37),1,32:55:00,12,19,0.632,3,3,1,11,11,1,1,4,5,1,3,0,1,2,38,33.3,27
32,32,12/30/00,22-129,LAL,@,LAC,W (+2),1,34:08:00,7,18,0.389,2,7,0.286,1,2,0.5,0,5,5,6,1,0,0,1,17,13.1,9
33,33,1/3/01,22-133,LAL,,UTA,W (+11),1,45:27:00,13,24,0.542,2,6,0.333,3,4,0.75,0,4,4,4,3,0,5,5,31,19,11
34,34,1/7/01,22-137,LAL,,LAC,L (-23),1,45:07:00,10,24,0.417,0,5,0,7,8,0.875,2,4,6,4,3,1,4,5,27,16.9,-20
35,35,1/12/01,22-142,LAL,,CLE,W (+3),1,42:20:00,10,25,0.4,2,6,0.333,10,11,0.909,2,3,5,5,2,2,4,6,32,20.9,5
36,36,1/13/01,22-143,LAL,@,UTA,L (-8),1,46:03:00,8,24,0.333,0,6,0,11,12,0.917,2,7,9,4,3,0,0,5,27,20.3,-2
37,37,1/15/01,22-145,LAL,,VAN,W (+1),1,46:04:00,10,24,0.417,0,4,0,6,8,0.75,0,11,11,11,2,2,3,1,26,23.4,4
38,38,1/19/01,22-149,LAL,,HOU,W (+13),1,39:08:00,12,22,0.545,1,4,0.25,4,5,0.8,2,4,6,4,3,0,1,3,29,24.2,16
39,39,1/21/01,22-151,LAL,,MIA,L (-11),1,45:08:00,13,27,0.481,1,3,0.333,7,8,0.875,2,6,8,0,5,1,6,6,34,20.4,-5
40,40,1/23/01,22-153,LAL,@,SEA,L (-11),1,42:50:00,5,19,0.263,1,5,0.2,10,13,0.769,3,5,8,5,2,0,2,3,21,14.4,-14
41,41,1/26/01,22-156,LAL,,NJN,W (+12),1,42:27:00,10,20,0.5,2,4,0.5,4,5,0.8,1,8,9,3,1,0,3,2,26,18,19
42,42,1/28/01,22-158,LAL,@,NYK,L (-10),1,42:29:00,12,27,0.444,1,3,0.333,8,11,0.727,3,8,11,3,2,0,3,2,33,22.5,-16
43,43,1/30/01,22-160,LAL,@,CLE,W (+6),1,40:31:00,12,26,0.462,0,1,0,23,26,0.885,2,3,5,3,3,1,7,3,47,32.3,4
44,44,1/31/01,22-161,LAL,@,MIN,L (-13),1,42:23:00,6,17,0.353,1,1,1,11,12,0.917,3,6,9,5,0,3,3,2,24,19.8,-12
45,45,2/2/01,22-163,LAL,,CHH,W (+6),1,48:00:00,15,30,0.5,0,1,0,14,14,1,4,5,9,2,0,5,5,3,44,32,6
46,46,2/4/01,22-165,LAL,,SAC,W (+6),1,44:09:00,8,26,0.308,0,1,0,10,11,0.909,4,7,11,4,1,0,2,2,26,16.5,8
47,47,2/7/01,22-168,LAL,,PHO,W (+2),1,44:53:00,13,26,0.5,1,2,0.5,5,7,0.714,1,7,8,9,4,1,4,4,32,26.4,7
48,48,2/13/01,22-174,LAL,@,NJN,W (+3),1,49:24:00,14,25,0.56,2,5,0.4,8,10,0.8,4,4,8,5,1,1,3,5,38,29.5,5
49,49,2/14/01,22-175,LAL,@,PHI,L (-15),1,40:45:00,7,13,0.538,1,2,0.5,3,4,0.75,1,6,7,7,1,0,6,3,18,12.5,-17
50,50,2/16/01,22-177,LAL,@,CHH,W (+5),1,41:58:00,8,17,0.471,0,1,0,9,10,0.9,2,8,10,10,1,0,4,2,25,22.9,7
51,51,2/18/01,22-179,LAL,@,IND,L (-1),1,45:25:00,13,28,0.464,0,2,0,7,9,0.778,3,2,5,9,1,1,4,2,33,23.7,-3
52,52,2/20/01,22-181,LAL,@,DAL,W (+10),1,39:45:00,5,16,0.313,0,0,,9,10,0.9,1,5,6,7,1,1,3,3,19,14,4
53,,2/21/01,22-182,LAL,@,SAS,W (+2),Did Not Dress,,,,,,,,,,,,,,,,,,,,,
54,,2/23/01,22-184,LAL,,ATL,W (+7),Did Not Dress,,,,,,,,,,,,,,,,,,,,,
55,,2/25/01,22-186,LAL,,ORL,W (+6),Did Not Dress,,,,,,,,,,,,,,,,,,,,,
56,53,2/28/01,22-189,LAL,@,DEN,L (-6),1,45:33:00,16,28,0.571,2,5,0.4,4,6,0.667,3,7,10,6,1,1,5,3,38,27.9,-1
57,54,3/3/01,22-192,LAL,@,VAN,W (+10),1,38:32:00,8,16,0.5,0,2,0,4,5,0.8,0,5,5,6,1,0,7,3,20,10.1,15
58,55,3/4/01,22-193,LAL,,GSW,W (+15),1,30:49:00,9,15,0.6,0,1,0,4,5,0.8,1,1,2,5,2,0,2,2,22,18.4,26
59,56,3/6/01,22-195,LAL,@,GSW,W (+12),1,36:11:00,7,17,0.412,1,1,1,14,15,0.933,1,2,3,2,3,1,3,4,29,21.3,2
60,57,3/7/01,22-196,LAL,,TOR,W (+12),1,38:17:00,11,34,0.324,0,2,0,7,7,1,5,2,7,5,0,0,3,4,29,12.6,9
61,58,3/9/01,22-198,LAL,,SAS,L (-4),1,43:45:00,16,33,0.485,0,1,0,6,8,0.75,2,5,7,2,1,0,4,5,38,19.8,-4
62,,3/11/01,22-200,LAL,,SEA,L (-12),Not With Team,,,,,,,,,,,,,,,,,,,,,
63,,3/13/01,22-202,LAL,,BOS,W (+5),Not With Team,,,,,,,,,,,,,,,,,,,,,
64,59,3/15/01,22-204,LAL,@,DET,W (+6),1,47:56:00,16,28,0.571,1,3,0.333,6,7,0.857,1,4,5,7,3,0,4,5,39,29.2,13
65,60,3/16/01,22-205,LAL,@,WAS,W (+12),1,35:38:00,11,18,0.611,1,2,0.5,3,4,0.75,0,5,5,5,5,2,2,3,26,25.6,17
66,61,3/18/01,22-207,LAL,@,ORL,W (+5),1,36:32:00,5,17,0.294,0,1,0,6,7,0.857,1,1,2,7,1,0,3,5,16,7.6,14
67,62,3/19/01,22-208,LAL,@,ATL,L (-2),1,44:23:00,10,22,0.455,0,0,,7,9,0.778,5,7,12,4,0,1,7,4,27,15.3,0
68,63,3/21/01,22-210,LAL,@,MIL,L (-7),1,41:31:00,4,15,0.267,0,1,0,5,7,0.714,1,6,7,8,0,0,4,3,13,6.2,-5
69,,3/23/01,22-212,LAL,,WAS,W (+13),Did Not Dress,,,,,,,,,,,,,,,,,,,,,
70,,3/25/01,22-214,LAL,@,SAC,W (+12),Not With Team,,,,,,,,,,,,,,,,,,,,,
71,,3/26/01,22-215,LAL,@,PHO,L (-21),Not With Team,,,,,,,,,,,,,,,,,,,,,
72,,3/28/01,22-217,LAL,,SAC,L (-24),Did Not Dress,,,,,,,,,,,,,,,,,,,,,
