Rk,G,Date,Age,Tm,,Opp,W/L,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
39,36,1/17/07,28-147,LAL,@,SAS,W (+4),1,36:12:00,12,19,0.632,0,2,0,10,11,0.909,0,6,6,8,1,0,7,2,34,25.7,10
40,37,1/18/07,28-148,LAL,@,DAL,L (-19),1,33:30:00,8,18,0.444,0,3,0,10,11,0.909,1,2,3,5,0,0,6,3,26,13.8,-17
41,38,1/20/07,28-150,LAL,@,NOK,L (-10),1,38:50:00,7,22,0.318,3,7,0.429,6,8,0.75,2,4,6,7,2,1,1,2,23,18,-10
42,39,1/22/07,28-152,LAL,,GSW,W (+5),1,38:52:00,11,22,0.5,4,7,0.571,16,19,0.842,1,7,8,1,2,1,5,1,42,30.6,7
43,40,1/26/07,28-156,LAL,,CHA,L (-9),1,50:01:00,10,24,0.417,2,5,0.4,10,12,0.833,2,4,6,5,0,0,9,3,32,14.3,-7
44,41,1/28/07,28-158,LAL,,SAS,L (-2),1,46:50:00,13,25,0.52,1,2,0.5,4,5,0.8,0,6,6,7,1,1,3,2,31,22.9,2
45,,1/30/07,28-160,LAL,@,NYK,L (-5),Player Suspended,,,,,,,,,,,,,,,,,,,,,
46,42,1/31/07,28-161,LAL,@,BOS,W (+13),1,41:46:00,13,25,0.52,7,9,0.778,10,13,0.769,1,7,8,8,0,2,2,2,43,36.5,20
47,43,2/2/07,28-163,LAL,@,IND,L (-11),1,39:37:00,7,25,0.28,2,8,0.25,6,6,1,0,5,5,4,5,0,4,1,22,12.2,-1
48,44,2/3/07,28-164,LAL,@,WAS,W (+16),1,43:57:00,14,26,0.538,2,5,0.4,9,10,0.9,2,4,6,6,2,0,4,3,39,29.6,14
49,45,2/5/07,28-166,LAL,@,ATL,W (+7),1,40:40:00,10,18,0.556,2,5,0.4,5,6,0.833,1,5,6,4,3,0,3,3,27,21.8,4
50,46,2/8/07,28-169,LAL,@,DET,L (-15),1,37:54:00,5,13,0.385,2,5,0.4,6,6,1,1,4,5,5,2,0,8,1,18,9.9,-25
51,47,2/9/07,28-170,LAL,@,TOR,L (-4),1,42:49:00,10,23,0.435,1,4,0.25,4,4,1,1,8,9,5,3,1,3,1,25,19.8,9
52,48,2/11/07,28-172,LAL,@,CLE,L (-9),1,43:53:00,12,24,0.5,1,5,0.2,11,11,1,0,7,7,6,1,0,4,5,36,25.3,-4
53,49,2/13/07,28-174,LAL,,NYK,L (-1),1,38:10:00,9,20,0.45,2,4,0.5,11,11,1,3,4,7,4,2,0,1,1,31,27.3,0
54,50,2/15/07,28-176,LAL,,CLE,L (-6),1,40:37:00,9,22,0.409,2,7,0.286,14,15,0.933,1,5,6,5,2,0,6,3,34,22.3,-3
55,51,2/21/07,28-182,LAL,,POR,L (-4),1,39:43:00,8,22,0.364,0,3,0,9,11,0.818,3,5,8,6,2,1,1,3,25,20.3,10
56,52,2/23/07,28-184,LAL,,BOS,W (+26),1,31:12:00,13,23,0.565,5,7,0.714,7,9,0.778,0,2,2,9,5,0,3,1,38,34.8,16
57,53,2/25/07,28-186,LAL,@,GSW,W (+17),1,36:27:00,9,23,0.391,2,8,0.25,6,7,0.857,1,5,6,6,3,0,4,2,26,17.7,17
58,54,2/26/07,28-187,LAL,@,UTA,W (+8),1,43:34:00,7,21,0.333,0,4,0,21,24,0.875,2,6,8,4,2,0,4,3,35,24.7,6
59,55,3/2/07,28-191,LAL,,SAC,L (-8),1,40:40:00,10,22,0.455,1,5,0.2,9,9,1,0,4,4,10,0,0,1,3,30,24.6,-14
60,56,3/4/07,28-193,LAL,@,PHO,L (-5),1,44:51:00,11,28,0.393,1,5,0.2,8,10,0.8,1,3,4,6,1,1,3,1,31,19.1,-3
61,57,3/6/07,28-195,LAL,@,MIN,L (-10),1,53:27:00,13,30,0.433,3,10,0.3,11,13,0.846,3,10,13,8,2,3,4,3,40,33,-1
62,,3/7/07,28-196,LAL,@,MIL,L (-20),Player Suspended,,,,,,,,,,,,,,,,,,,,,
63,58,3/9/07,28-198,LAL,@,PHI,L (-16),1,44:25:00,12,27,0.444,3,7,0.429,3,3,1,0,4,4,4,1,0,3,4,30,16.3,-21
64,59,3/11/07,28-200,LAL,,DAL,L (-36),1,36:32:00,6,19,0.316,0,2,0,13,18,0.722,2,7,9,3,0,0,5,1,25,12.3,-12
65,60,3/15/07,28-204,LAL,@,DEN,L (-27),1,37:49:00,9,19,0.474,0,5,0,7,8,0.875,2,3,5,9,0,0,1,4,25,20.9,-22
66,61,3/16/07,28-205,LAL,,POR,W (+5),1,49:58:00,23,39,0.59,8,12,0.667,11,12,0.917,1,6,7,3,3,0,2,3,65,50.9,4
67,62,3/18/07,28-207,LAL,,MIN,W (+7),1,44:33:00,17,35,0.486,4,9,0.444,12,14,0.857,1,5,6,3,3,0,3,1,50,35.4,12
68,63,3/22/07,28-211,LAL,@,MEM,W (+2),1,45:11:00,20,37,0.541,3,7,0.429,17,18,0.944,2,3,5,4,0,0,2,4,60,43.2,2
69,64,3/23/07,28-212,LAL,@,NOK,W (+6),1,46:52:00,16,29,0.552,2,5,0.4,16,16,1,1,6,7,1,0,1,1,2,50,38.2,12
70,65,3/25/07,28-214,LAL,,GSW,W (+2),1,46:22:00,15,33,0.455,4,11,0.364,9,11,0.818,4,5,9,0,1,1,7,2,43,23.3,7
71,66,3/27/07,28-216,LAL,,MEM,L (-2),1,44:13:00,7,26,0.269,3,7,0.429,6,9,0.667,3,2,5,5,3,0,1,0,23,14.6,-1
72,67,3/30/07,28-219,LAL,,HOU,L (-3),1,47:34:00,19,44,0.432,3,9,0.333,12,14,0.857,1,1,2,2,0,0,3,2,53,27.6,1
73,68,4/1/07,28-221,LAL,,SAC,W (+23),1,37:59:00,6,14,0.429,1,2,0.5,6,6,1,0,2,2,13,3,1,4,1,19,20.6,13
74,69,4/3/07,28-223,LAL,,DEN,L (-6),1,44:38:00,14,31,0.452,0,5,0,11,11,1,0,3,3,4,0,3,3,3,39,24.5,-6
75,70,4/4/07,28-224,LAL,@,LAC,L (-8),1,44:42:00,13,34,0.382,0,3,0,3,4,0.75,0,7,7,3,2,2,4,3,29,12.4,3
76,71,4/6/07,28-226,LAL,@,SEA,W (+3),1,40:54:00,13,27,0.481,1,4,0.25,19,24,0.792,1,4,5,6,3,1,1,2,46,38.3,-1
77,72,4/8/07,28-228,LAL,,PHO,L (-8),1,43:40:00,14,25,0.56,1,5,0.2,5,5,1,0,3,3,7,1,1,5,2,34,23.8,-10
78,73,4/9/07,28-229,LAL,@,DEN,L (-4),1,46:14:00,9,30,0.3,1,5,0.2,4,5,0.8,0,5,5,10,1,0,4,1,23,10.3,0
79,74,4/12/07,28-232,LAL,,LAC,L (-8),1,48:00:00,17,33,0.515,1,4,0.25,15,15,1,0,9,9,1,2,0,3,3,50,34.9,-8
80,75,4/13/07,28-233,LAL,@,PHO,L (-8),1,42:06:00,7,26,0.269,1,6,0.167,2,2,1,1,5,6,4,1,1,2,2,17,5.5,-19
81,76,4/15/07,28-235,LAL,,SEA,W (+11),1,42:05:00,18,25,0.72,3,6,0.5,11,13,0.846,2,6,8,3,2,0,1,2,50,44.4,6
82,77,4/18/07,28-238,LAL,@,SAC,W (+11),1,34:23:00,12,19,0.632,0,2,0,10,12,0.833,1,6,7,6,1,0,1,4,34,29.8,8
