Rk,G,Date,Age,Tm,,Opp,W/L,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc
33,25,1/3/97,18-133,LAL,,SAC,W (+7),0,22:16,6,10,0.6,0,2,0,9,10,0.9,2,3,5,1,2,2,0,1,21,22
34,26,1/5/97,18-135,LAL,@,VAN,W (+13),0,28:48:00,6,9,0.667,1,1,1,3,4,0.75,3,2,5,3,1,0,2,3,16,14.3
35,27,1/6/97,18-136,LAL,@,POR,L (-4),0,23:12,3,9,0.333,1,3,0.333,1,2,0.5,0,2,2,2,2,0,2,3,8,3.3
36,28,1/8/97,18-138,LAL,,CHH,W (+4),0,21:32,4,13,0.308,0,2,0,1,2,0.5,1,0,1,2,2,1,2,2,9,3.1
37,29,1/10/97,18-140,LAL,,MIA,W (+9),0,7:46,1,3,0.333,0,1,0,0,0,,1,2,3,0,0,0,2,0,2,-0.4
38,30,1/14/97,18-144,LAL,,VAN,W (+10),0,5:34,1,6,0.167,0,2,0,0,0,,0,0,0,0,1,0,0,1,2,-1.2
39,,1/16/97,18-146,LAL,,POR,L (-4),Did Not Play,,,,,,,,,,,,,,,,,,,,
40,31,1/18/97,18-148,LAL,,DET,L (-3),0,32:20:00,8,13,0.615,3,5,0.6,2,2,1,0,2,2,5,1,0,4,1,21,15.8
41,32,1/20/97,18-150,LAL,,DAL,W (+10),0,13:24,3,7,0.429,0,0,,0,0,,1,1,2,1,1,0,5,2,6,-0.8
42,33,1/24/97,18-154,LAL,,GSW,W (+17),0,24:54:00,4,8,0.5,1,4,0.25,8,8,1,3,3,6,4,1,0,3,2,17,16
43,34,1/26/97,18-156,LAL,@,SEA,W (+1),0,17:02,3,6,0.5,1,1,1,0,0,,1,0,1,1,1,0,3,0,7,3.4
44,35,1/28/97,18-158,LAL,@,DAL,W (+19),1,31:45:00,5,11,0.455,0,3,0,2,3,0.667,1,2,3,2,2,1,3,1,12,7.9
45,36,1/29/97,18-159,LAL,@,SAS,W (+7),1,29:51:00,6,12,0.5,3,7,0.429,4,4,1,1,3,4,0,2,2,3,2,19,14.2
46,37,2/2/97,18-163,LAL,,WSB,W (+30),0,24:00:00,2,9,0.222,0,1,0,9,9,1,0,3,3,3,0,0,1,0,13,9.5
47,38,2/4/97,18-165,LAL,@,LAC,L (-22),0,22:32,2,10,0.2,0,2,0,2,2,1,1,2,3,0,2,0,2,2,6,0.3
48,39,2/5/97,18-166,LAL,,CHI,W (+16),0,12:40,2,7,0.286,1,2,0.5,0,0,,1,2,3,0,0,1,0,0,5,2.9
49,40,2/12/97,18-173,LAL,@,MIN,W (+16),0,11:02,0,4,0,0,0,,2,3,0.667,1,1,2,3,0,1,1,1,2,1.2
50,41,2/13/97,18-174,LAL,@,DEN,W (+15),0,20:00,4,10,0.4,1,2,0.5,0,0,,1,1,2,3,1,0,1,2,9,5.9
51,42,2/16/97,18-177,LAL,,SEA,L (-11),0,12:55,0,3,0,0,1,0,0,0,,0,1,1,0,0,0,2,2,0,-4.6
52,43,2/19/97,18-180,LAL,,CLE,L (-19),1,23:27,3,7,0.429,2,4,0.5,2,2,1,0,2,2,0,0,2,1,3,10,6.1
53,44,2/21/97,18-182,LAL,,VAN,W (+8),0,5:15,1,1,1,0,0,,0,0,,0,1,1,0,0,0,2,0,2,0
54,45,2/23/97,18-184,LAL,,NYK,L (-6),0,3:47,0,2,0,0,1,0,0,0,,0,1,1,0,0,0,0,1,0,-1.5
55,,2/25/97,18-186,LAL,@,HOU,L (-4),Did Not Play,,,,,,,,,,,,,,,,,,,,
56,,2/27/97,18-188,LAL,@,WSB,W (+15),Did Not Play,,,,,,,,,,,,,,,,,,,,
57,46,2/28/97,18-189,LAL,@,ATL,L (-11),0,1:23,0,1,0,0,0,,0,0,,0,0,0,0,0,0,0,0,0,-0.7
58,47,3/2/97,18-191,LAL,@,IND,L (-16),0,21:28,4,9,0.444,0,1,0,2,2,1,1,0,1,1,0,0,1,1,10,5.3
59,48,3/4/97,18-193,LAL,@,DAL,W (+10),0,6:18,0,2,0,0,1,0,0,0,,1,1,2,0,0,0,0,0,0,-0.4
60,49,3/7/97,18-196,LAL,,HOU,L (-21),0,17:23,3,10,0.3,0,4,0,2,2,1,0,1,1,1,1,0,1,1,8,2.8
61,50,3/9/97,18-198,LAL,,NJN,W (+10),0,26:02:00,3,6,0.5,1,3,0.333,5,5,1,1,1,2,2,2,1,0,3,12,12.9
62,51,3/12/97,18-201,LAL,,GSW,W (+8),0,18:17,6,10,0.6,4,6,0.667,2,3,0.667,1,0,1,0,3,0,3,4,18,12.1
63,52,3/14/97,18-203,LAL,,LAC,L (-2),0,26:07:00,6,13,0.462,3,4,0.75,1,2,0.5,2,2,4,1,3,0,1,2,16,12.8
64,53,3/16/97,18-205,LAL,,TOR,W (+8),0,22:35,2,9,0.222,2,7,0.286,4,4,1,1,4,5,1,0,0,1,2,10,5.3
65,54,3/17/97,18-206,LAL,@,DEN,W (+19),0,10:21,3,7,0.429,2,4,0.5,0,0,,0,0,0,1,2,0,1,0,8,6
66,55,3/20/97,18-209,LAL,@,CLE,W (+13),0,2:58,0,1,0,0,0,,0,0,,0,1,1,1,0,0,2,1,0,-2.1
67,56,3/21/97,18-210,LAL,@,MIA,L (-1),0,2:56,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0
68,57,3/23/97,18-212,LAL,@,ORL,L (-26),0,18:44,3,6,0.5,0,1,0,2,2,1,1,1,2,4,0,0,4,1,8,4.4
69,58,3/24/97,18-213,LAL,@,NJN,W (+25),0,8:48,2,3,0.667,0,0,,2,3,0.667,1,0,1,0,0,0,1,0,6,4
70,59,3/26/97,18-215,LAL,,MIL,W (+22),1,32:02:00,7,14,0.5,2,4,0.5,3,4,0.75,0,1,1,4,2,0,1,1,19,15.3
71,60,3/27/97,18-216,LAL,@,VAN,W (+4),1,42:41:00,6,16,0.375,1,5,0.2,7,7,1,4,4,8,4,3,0,3,3,20,16.8
72,61,4/1/97,18-221,LAL,@,SEA,W (+2),0,12:10,4,5,0.8,1,1,1,0,0,,0,1,1,1,0,0,2,5,9,4.1
73,62,4/2/97,18-222,LAL,,DEN,W (+25),0,16:28,2,6,0.333,0,0,,2,2,1,1,2,3,3,1,0,1,1,6,5.6
74,63,4/4/97,18-224,LAL,,SAS,L (-11),0,17:18,4,6,0.667,0,1,0,7,7,1,0,0,0,3,0,0,3,2,15,10.7
75,64,4/6/97,18-226,LAL,,DAL,W (+7),0,21:45,3,9,0.333,2,4,0.5,5,5,1,1,1,2,3,3,0,1,3,13,11.8
76,65,4/8/97,18-228,LAL,@,GSW,W (+24),0,24:42:00,9,11,0.818,2,3,0.667,4,7,0.571,1,1,2,3,1,0,5,3,24,16.6
77,66,4/9/97,18-229,LAL,@,UTA,L (-12),0,33:27:00,3,12,0.25,1,2,0.5,4,6,0.667,1,1,2,3,1,0,2,2,11,4.3
78,67,4/11/97,18-231,LAL,,PHO,W (+16),1,27:59:00,3,7,0.429,1,2,0.5,0,0,,1,0,1,1,1,0,1,2,7,3.9
79,68,4/13/97,18-233,LAL,,UTA,W (+2),0,15:30,3,5,0.6,0,1,0,6,6,1,1,0,1,4,0,1,1,0,12,12.9
80,69,4/17/97,18-237,LAL,,SAC,W (+9),0,15:47,1,4,0.25,0,1,0,1,2,0.5,0,2,2,1,1,0,3,2,3,-1.3
81,70,4/18/97,18-238,LAL,@,LAC,W (+28),0,14:46,0,0,,0,0,,5,8,0.625,0,1,1,2,0,0,2,1,5,3.1
82,71,4/20/97,18-240,LAL,@,POR,L (-4),0,3:47,0,0,,0,0,,2,2,1,0,1,1,1,0,1,2,0,2,1.7
