Rk,G,Date,Age,Tm,,Opp,W/L,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc
1,,11/1/96,18-070,LAL,,PHO,W (+14),Did Not Play,,,,,,,,,,,,,,,,,,,,
2,1,11/3/96,18-072,LAL,,MIN,W (+6),0,6:22,0,1,0,0,0,,0,0,,0,1,1,0,0,1,1,1,0,-1.1
3,2,11/5/96,18-074,LAL,@,NYK,W (+6),0,3:16,0,1,0,0,0,,1,2,0.5,0,0,0,0,0,0,1,0,1,-1.1
4,3,11/6/96,18-075,LAL,@,CHH,L (-10),0,6:49,2,3,0.667,1,2,0.5,0,0,,0,0,0,0,0,0,3,0,5,0.7
5,4,11/8/96,18-077,LAL,@,TOR,L (-1),0,17:15,3,8,0.375,2,3,0.667,2,4,0.5,0,3,3,0,0,1,0,3,10,5.2
6,5,11/10/96,18-079,LAL,,ATL,W (+7),0,8:25,0,3,0,0,0,,2,2,1,1,2,3,1,0,0,0,0,2,1.9
7,6,11/12/96,18-081,LAL,@,HOU,W (+11),0,5:03,1,2,0.5,0,1,0,0,0,,0,1,1,0,0,0,2,0,2,-0.7
8,7,11/13/96,18-082,LAL,@,SAS,L (-12),0,6:06,2,2,1,1,1,1,1,1,1,0,0,0,0,1,0,0,2,6,5.6
9,8,11/15/96,18-084,LAL,,LAC,W (+7),0,7:01,1,4,0.25,0,2,0,2,3,0.667,0,0,0,0,0,0,1,4,4,-1.4
10,9,11/17/96,18-086,LAL,@,PHO,W (+14),0,14:29,5,8,0.625,4,6,0.667,2,2,1,2,0,2,2,0,0,4,2,16,10.4
11,10,11/19/96,18-088,LAL,@,GSW,W (+3),0,7:47,0,2,0,0,1,0,3,4,0.75,0,2,2,1,0,0,1,2,3,0.7
12,11,11/20/96,18-089,LAL,,UTA,L (-16),0,20:32,4,5,0.8,3,3,1,0,0,,0,1,1,1,0,1,2,1,11,8.4
13,,11/22/96,18-091,LAL,,SAS,W (+10),Did Not Dress,,,,,,,,,,,,,,,,,,,,
14,,11/24/96,18-093,LAL,,HOU,L (-5),Did Not Play,,,,,,,,,,,,,,,,,,,,
15,12,11/26/96,18-095,LAL,@,PHI,W (+12),0,20:52,4,10,0.4,2,5,0.4,2,2,1,0,1,1,1,0,0,3,1,12,4.2
16,13,11/27/96,18-096,LAL,@,BOS,L (-16),0,19:33,1,7,0.143,0,3,0,0,0,,1,3,4,1,0,1,2,3,2,-2.7
17,14,11/29/96,18-098,LAL,@,DET,W (+8),0,6:35,0,1,0,0,0,,1,2,0.5,1,0,1,0,0,1,0,1,1,0.9
18,15,12/1/96,18-100,LAL,,DEN,W (+8),0,2:41,1,2,0.5,0,0,,0,0,,0,1,1,0,0,0,1,0,2,0.3
19,,12/3/96,18-102,LAL,,SEA,W (+4),Did Not Play,,,,,,,,,,,,,,,,,,,,
20,16,12/4/96,18-103,LAL,@,UTA,L (-26),0,13:24,2,6,0.333,0,0,,4,6,0.667,1,2,3,2,0,0,1,1,8,5.1
21,,12/6/96,18-105,LAL,,ORL,W (+11),Did Not Play,,,,,,,,,,,,,,,,,,,,
22,17,12/8/96,18-107,LAL,,MIN,W (+24),0,22:02,3,10,0.3,0,3,0,5,6,0.833,2,1,3,3,2,2,3,2,11,8.2
23,18,12/10/96,18-109,LAL,@,SAC,W (+2),0,6:07,0,1,0,0,1,0,0,0,,0,1,1,1,1,0,1,0,0,0.3
24,,12/11/96,18-110,LAL,,IND,W (+3),Did Not Play,,,,,,,,,,,,,,,,,,,,
25,,12/13/96,18-112,LAL,,POR,W (+1),Did Not Play,,,,,,,,,,,,,,,,,,,,
26,19,12/17/96,18-116,LAL,@,CHI,L (-6),0,9:48,2,5,0.4,1,2,0.5,0,2,0,0,1,1,0,0,1,0,1,5,2.1
27,20,12/18/96,18-117,LAL,@,MIL,W (+6),0,7:49,0,0,,0,0,,0,0,,2,1,3,1,0,1,1,0,0,2.1
28,21,12/21/96,18-120,LAL,@,MIN,L (-15),0,11:38,2,3,0.667,1,2,0.5,0,0,,0,1,1,0,0,1,3,2,5,0.9
29,22,12/25/96,18-124,LAL,@,PHO,W (+21),0,5:12,0,2,0,0,1,0,0,0,,0,1,1,0,0,0,0,1,0,-1.5
30,,12/27/96,18-126,LAL,,BOS,W (+7),Did Not Play,,,,,,,,,,,,,,,,,,,,
31,23,12/29/96,18-128,LAL,,PHI,W (+13),0,6:31,0,1,0,0,0,,0,0,,0,1,1,0,1,0,1,3,0,-1.6
32,24,1/2/97,18-132,LAL,@,SAC,W (+7),0,10:29,2,3,0.667,0,1,0,0,0,,0,1,1,2,1,0,0,3,4,4.2
