Rk,G,Date,Age,Tm,,Opp,W/L,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
1,1,10/30/12,34-068,LAL,,DAL,L (-8),1,34:52:00,11,14,0.786,0,0,,0,0,,0,1,1,0,1,0,2,3,22,14.7,-1
2,2,10/31/12,34-069,LAL,@,POR,L (-10),1,38:29:00,10,20,0.5,4,9,0.444,6,7,0.857,2,4,6,3,0,0,7,5,30,15.3,9
3,3,11/2/12,34-071,LAL,,LAC,L (-10),1,42:55:00,14,23,0.609,2,3,0.667,10,10,1,2,4,6,1,2,0,6,1,40,28.4,-7
4,4,11/4/12,34-073,LAL,,DET,W (+29),1,31:43:00,5,10,0.5,3,5,0.6,2,2,1,0,7,7,8,1,0,1,4,15,16.1,38
5,5,11/7/12,34-076,LAL,@,UTA,L (-9),1,37:17:00,7,17,0.412,0,4,0,15,17,0.882,0,5,5,4,3,0,6,3,29,19.2,4
6,6,11/9/12,34-078,LAL,,GSW,W (+24),1,32:43:00,10,18,0.556,2,4,0.5,5,6,0.833,1,8,9,7,2,0,4,2,27,23.2,18
7,7,11/11/12,34-080,LAL,,SAC,W (+13),1,33:30:00,6,15,0.4,2,5,0.4,6,6,1,2,4,6,6,1,0,2,2,20,16.9,18
8,8,11/13/12,34-082,LAL,,SAS,L (-2),1,38:05:00,12,19,0.632,2,4,0.5,2,2,1,0,4,4,8,1,0,2,0,28,25.3,10
9,9,11/16/12,34-085,LAL,,PHO,W (+12),1,38:26:00,10,24,0.417,1,5,0.2,10,11,0.909,1,1,2,6,1,0,1,2,31,22.2,7
10,10,11/18/12,34-087,LAL,,HOU,W (+11),1,35:12:00,9,18,0.5,1,3,0.333,3,5,0.6,1,10,11,11,3,0,3,4,22,22,14
11,11,11/20/12,34-089,LAL,,BRK,W (+5),1,38:36:00,8,15,0.533,1,4,0.25,8,10,0.8,0,4,4,5,1,0,3,4,25,18,20
12,12,11/21/12,34-090,LAL,@,SAC,L (-16),1,38:46:00,11,20,0.55,5,9,0.556,11,13,0.846,0,3,3,3,2,0,7,3,38,24.4,1
13,13,11/23/12,34-092,LAL,@,MEM,L (-8),1,37:29:00,7,23,0.304,3,8,0.375,13,14,0.929,0,3,3,4,1,0,2,4,30,17.4,-22
14,14,11/24/12,34-093,LAL,@,DAL,W (+26),1,33:16:00,6,11,0.545,1,2,0.5,6,8,0.75,1,2,3,5,1,0,6,3,19,11.5,25
15,15,11/27/12,34-096,LAL,,IND,L (-2),1,43:44:00,12,28,0.429,5,11,0.455,11,13,0.846,0,10,10,3,3,0,10,2,40,21.7,-4
16,16,11/30/12,34-099,LAL,,DEN,W (+19),1,37:10:00,5,15,0.333,0,3,0,4,4,1,1,1,2,8,2,0,4,5,14,8.1,9
17,17,12/2/12,34-101,LAL,,ORL,L (-10),1,38:43:00,12,27,0.444,0,2,0,10,11,0.909,1,6,7,5,1,0,2,2,34,23.7,-17
18,18,12/4/12,34-103,LAL,@,HOU,L (-2),1,34:53:00,14,31,0.452,2,9,0.222,9,12,0.75,1,5,6,2,2,0,3,4,39,22.7,-4
19,19,12/5/12,34-104,LAL,@,NOH,W (+16),1,33:53:00,10,17,0.588,1,4,0.25,8,9,0.889,1,5,6,4,3,0,1,1,29,27.3,15
20,20,12/7/12,34-106,LAL,@,OKC,L (-6),1,43:30:00,11,24,0.458,4,5,0.8,9,10,0.9,0,3,3,7,3,2,5,5,35,25.4,-2
21,21,12/9/12,34-108,LAL,,UTA,L (-7),1,43:03:00,9,24,0.375,4,9,0.444,12,14,0.857,0,0,0,3,1,0,2,2,34,20.3,-2
22,22,12/11/12,34-110,LAL,@,CLE,L (-6),1,40:43:00,16,28,0.571,3,9,0.333,7,10,0.7,1,4,5,2,1,1,5,1,42,27.2,-7
23,23,12/13/12,34-112,LAL,@,NYK,L (-9),1,44:02:00,10,24,0.417,5,11,0.455,6,6,1,2,8,10,6,1,1,5,5,31,20.9,0
24,24,12/14/12,34-113,LAL,@,WAS,W (+6),1,43:36:00,9,29,0.31,1,8,0.125,11,13,0.846,3,4,7,7,2,1,3,1,30,20,17
25,25,12/16/12,34-115,LAL,@,PHI,W (+13),1,40:02:00,12,21,0.571,2,6,0.333,8,9,0.889,0,4,4,6,1,0,5,0,34,25.1,10
26,26,12/18/12,34-117,LAL,,CHA,W (+1),1,43:17:00,11,24,0.458,2,5,0.4,6,7,0.857,0,6,6,7,1,1,2,1,30,23.2,-7
27,27,12/22/12,34-121,LAL,@,GSW,W (+3),1,43:39:00,16,41,0.39,2,8,0.25,0,1,0,3,7,10,5,1,0,3,5,34,15,0
28,28,12/25/12,34-124,LAL,,NYK,W (+6),1,43:37:00,14,24,0.583,1,5,0.2,5,7,0.714,1,4,5,1,0,1,1,2,34,23.5,11
29,29,12/26/12,34-125,LAL,@,DEN,L (-12),1,44:01:00,13,24,0.542,5,9,0.556,9,11,0.818,0,4,4,6,0,2,2,2,40,31.6,-7
30,30,12/28/12,34-127,LAL,,POR,W (+17),1,30:40:00,9,18,0.5,1,6,0.167,8,11,0.727,2,3,5,4,2,0,1,3,27,21.7,21
31,31,1/1/13,34-131,LAL,,PHI,L (-4),1,42:25:00,14,29,0.483,1,6,0.167,7,10,0.7,4,2,6,0,1,0,3,2,36,20.7,-4
32,32,1/4/13,34-134,LAL,@,LAC,L (-5),1,43:39:00,15,25,0.6,1,6,0.167,7,8,0.875,0,0,0,3,5,0,1,3,38,31,6
33,33,1/6/13,34-136,LAL,,DEN,L (-7),1,42:12:00,11,26,0.423,3,8,0.375,4,4,1,1,4,5,7,0,0,2,2,29,19.2,-12
34,34,1/8/13,34-138,LAL,@,HOU,L (-13),1,41:26:00,8,22,0.364,2,8,0.25,2,2,1,2,3,5,7,3,0,5,3,20,11.8,-15
35,35,1/9/13,34-139,LAL,@,SAS,L (-3),1,38:43:00,10,24,0.417,3,8,0.375,4,7,0.571,0,4,4,5,0,0,1,3,27,15.5,-4
36,36,1/11/13,34-141,LAL,,OKC,L (-15),1,35:03:00,8,23,0.348,2,8,0.25,10,13,0.769,0,4,4,3,2,0,1,2,28,17.4,-24
37,37,1/13/13,34-143,LAL,,CLE,W (+20),1,27:58:00,9,14,0.643,3,4,0.75,2,4,0.5,0,2,2,6,0,0,4,4,23,15.2,19
38,38,1/15/13,34-145,LAL,,MIL,W (+16),1,36:40:00,12,19,0.632,3,5,0.6,4,4,1,1,1,2,6,1,0,1,2,31,26.9,23
39,39,1/17/13,34-147,LAL,,MIA,L (-9),1,42:55:00,8,25,0.32,4,9,0.444,2,2,1,1,3,4,1,1,0,6,4,22,3.4,-9
40,40,1/20/13,34-150,LAL,@,TOR,L (-5),1,42:53:00,10,32,0.313,3,12,0.25,3,3,1,0,4,4,5,2,1,6,1,26,8.6,0
41,41,1/21/13,34-151,LAL,@,CHI,L (-12),1,41:58:00,7,22,0.318,0,6,0,2,3,0.667,0,4,4,5,0,0,3,2,16,3.9,-12
42,42,1/23/13,34-153,LAL,@,MEM,L (-13),1,38:34:00,11,23,0.478,0,1,0,7,8,0.875,0,3,3,3,1,0,2,1,29,18.5,-13
43,43,1/25/13,34-155,LAL,,UTA,W (+18),1,34:44:00,7,10,0.7,0,0,,0,0,,0,9,9,14,3,1,3,0,14,23,15
44,44,1/27/13,34-157,LAL,,OKC,W (+9),1,38:47:00,8,12,0.667,0,0,,5,6,0.833,0,9,9,14,1,1,3,1,21,26.2,11
45,45,1/29/13,34-159,LAL,,NOH,W (+5),1,34:23:00,5,12,0.417,0,4,0,4,4,1,3,5,8,11,0,0,2,1,14,16.5,-5
