Rk,G,Date,Age,Tm,,Opp,W/L,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
1,1,10/28/08,30-066,LAL,,POR,W (+20),1,32:47:00,9,17,0.529,1,1,1,4,5,0.8,2,9,11,5,1,0,5,3,23,16.7,17
2,2,10/29/08,30-067,LAL,@,LAC,W (+38),1,30:44:00,5,12,0.417,0,2,0,6,7,0.857,2,6,8,3,2,0,5,2,16,10.7,23
3,3,11/1/08,30-070,LAL,@,DEN,W (+7),1,32:54:00,11,24,0.458,1,2,0.5,10,12,0.833,3,1,4,3,2,0,1,4,33,23.7,13
4,4,11/5/08,30-074,LAL,,LAC,W (+18),1,36:20:00,8,21,0.381,0,2,0,11,14,0.786,1,1,2,3,2,2,2,3,27,17.6,15
5,5,11/9/08,30-078,LAL,,HOU,W (+29),1,32:59:00,10,17,0.588,1,2,0.5,2,4,0.5,2,1,3,3,2,2,4,3,23,16.3,10
6,6,11/11/08,30-080,LAL,@,DAL,W (+7),1,35:43:00,10,20,0.5,0,2,0,7,8,0.875,1,3,4,1,1,0,1,1,27,18.5,-6
7,7,11/12/08,30-081,LAL,@,NOH,W (+7),1,38:08:00,5,15,0.333,1,1,1,9,9,1,0,4,4,6,0,0,2,4,20,13.3,4
8,8,11/14/08,30-083,LAL,,DET,L (-11),1,39:17:00,12,30,0.4,2,7,0.286,3,4,0.75,0,5,5,6,4,1,3,5,29,17.8,-1
9,9,11/18/08,30-087,LAL,,CHI,W (+7),1,30:32:00,9,18,0.5,3,6,0.5,0,0,,1,4,5,6,3,2,1,3,21,20.3,22
10,10,11/20/08,30-089,LAL,@,PHO,W (+13),1,32:32:00,8,23,0.348,1,5,0.2,7,9,0.778,1,4,5,3,0,1,2,0,24,13,17
11,11,11/21/08,30-090,LAL,,DEN,W (+14),1,29:42:00,12,18,0.667,1,3,0.333,4,5,0.8,2,2,4,2,2,0,1,3,29,24,13
12,12,11/23/08,30-092,LAL,,SAC,W (+10),1,33:46:00,10,20,0.5,0,1,0,4,4,1,1,3,4,6,3,1,3,2,24,19.7,21
13,13,11/25/08,30-094,LAL,,NJN,W (+27),1,27:52:00,5,17,0.294,0,2,0,2,2,1,0,6,6,4,1,0,0,2,12,6.9,2
14,14,11/28/08,30-097,LAL,,DAL,W (+7),1,39:45:00,14,26,0.538,1,4,0.25,6,6,1,2,4,6,5,1,1,3,2,35,26.4,12
15,15,11/30/08,30-099,LAL,,TOR,W (+13),1,29:49:00,9,14,0.643,0,2,0,5,5,1,1,4,5,7,1,0,3,2,23,20.8,7
16,16,12/2/08,30-101,LAL,@,IND,L (-1),1,37:13:00,10,21,0.476,0,5,0,8,10,0.8,2,5,7,2,1,0,1,2,28,20,-3
17,17,12/3/08,30-102,LAL,@,PHI,W (+12),1,36:33:00,12,20,0.6,1,3,0.333,7,7,1,0,6,6,4,2,0,4,4,32,23.8,10
18,18,12/5/08,30-104,LAL,@,WAS,W (+2),1,35:20:00,5,17,0.294,0,1,0,13,14,0.929,2,5,7,7,0,0,2,2,23,17.7,16
19,19,12/7/08,30-106,LAL,,MIL,W (+13),1,30:36:00,6,13,0.462,0,1,0,8,9,0.889,2,3,5,8,2,0,4,2,20,18,25
20,20,12/9/08,30-108,LAL,@,SAC,L (-12),1,38:13:00,9,25,0.36,3,8,0.375,7,7,1,2,2,4,3,0,0,2,2,28,15.4,-15
21,21,12/10/08,30-109,LAL,,PHO,W (+5),1,34:16:00,6,16,0.375,2,5,0.4,4,4,1,0,7,7,3,1,0,5,2,18,8.6,-7
22,22,12/12/08,30-111,LAL,,SAC,W (+9),1,39:23:00,11,21,0.524,2,4,0.5,8,10,0.8,2,5,7,3,0,1,4,2,32,21.8,11
23,23,12/14/08,30-113,LAL,,MIN,W (+12),1,36:35:00,9,24,0.375,2,6,0.333,6,6,1,0,3,3,5,2,0,2,2,26,16.4,14
24,24,12/16/08,30-115,LAL,,NYK,W (+2),1,40:56:00,12,22,0.545,1,3,0.333,3,4,0.75,1,6,7,6,4,0,1,0,28,26.7,5
25,25,12/19/08,30-118,LAL,@,MIA,L (-2),1,35:30:00,12,24,0.5,1,3,0.333,3,4,0.75,1,2,3,3,0,0,5,3,28,12.8,-6
26,26,12/20/08,30-119,LAL,@,ORL,L (-3),1,42:35:00,14,31,0.452,2,3,0.667,11,11,1,2,6,8,3,0,0,1,3,41,28,-9
27,27,12/22/08,30-121,LAL,@,MEM,W (+9),1,38:15:00,14,23,0.609,3,6,0.5,5,8,0.625,0,4,4,3,2,0,5,1,36,24.2,9
28,28,12/23/08,30-122,LAL,@,NOH,W (+13),1,37:19:00,7,18,0.389,0,1,0,12,15,0.8,0,6,6,4,0,0,0,2,26,18.8,14
29,29,12/25/08,30-124,LAL,,BOS,W (+9),1,43:04:00,13,23,0.565,1,3,0.333,0,0,,2,7,9,5,1,0,4,2,27,19.3,2
30,30,12/28/08,30-127,LAL,,GSW,W (+17),1,31:44:00,9,15,0.6,3,6,0.5,10,10,1,1,2,3,4,4,0,2,2,31,29.4,19
31,31,1/2/09,30-132,LAL,,UTA,W (+13),1,38:07:00,13,23,0.565,2,3,0.667,12,14,0.857,3,4,7,4,2,1,2,3,40,33.9,19
32,32,1/4/09,30-134,LAL,,POR,W (+14),1,32:50:00,11,19,0.579,0,2,0,4,5,0.8,0,2,2,3,1,0,4,1,26,16,17
33,33,1/6/09,30-136,LAL,,NOH,L (-11),1,41:53:00,14,22,0.636,6,7,0.857,5,6,0.833,0,4,4,7,0,1,4,1,39,31.2,-8
34,34,1/7/09,30-137,LAL,@,GSW,W (+8),1,39:28:00,9,20,0.45,2,5,0.4,1,1,1,1,4,5,5,2,0,3,3,21,13.8,5
