Rk,G,Date,Age,Tm,,Opp,W/L,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc
1,1,2/5/99,20-166,LAL,,HOU,W (+8),1,43:38:00,8,21,0.381,2,3,0.667,7,9,0.778,2,8,10,2,2,3,2,4,25,18.4
2,2,2/7/99,20-168,LAL,,UTA,L (-9),1,41:27:00,7,12,0.583,0,1,0,2,2,1,2,10,12,3,0,2,5,6,16,10.9
3,3,2/8/99,20-169,LAL,@,SAS,W (+5),1,41:31:00,8,19,0.421,1,4,0.25,2,2,1,2,8,10,2,2,2,4,5,19,11.5
4,4,2/10/99,20-171,LAL,@,DEN,W (+5),1,38:11:00,8,15,0.533,1,2,0.5,4,5,0.8,1,9,10,5,1,0,3,5,21,16.2
5,5,2/11/99,20-172,LAL,@,MIN,L (-11),1,37:45:00,8,21,0.381,0,3,0,8,9,0.889,2,8,10,2,2,1,1,1,24,18.6
6,6,2/14/99,20-175,LAL,,IND,L (-2),1,34:45:00,6,12,0.5,1,4,0.25,5,6,0.833,0,2,2,0,2,2,3,5,18,10.6
7,7,2/16/99,20-177,LAL,,CHH,W (+28),1,30:53:00,8,14,0.571,0,1,0,0,0,,0,9,9,5,2,2,4,1,16,14.6
8,8,2/17/99,20-178,LAL,,DAL,W (+13),1,30:50:00,8,15,0.533,0,0,,7,8,0.875,1,8,9,4,1,0,3,2,23,18.4
9,9,2/19/99,20-180,LAL,,SAS,W (+12),1,41:52:00,9,19,0.474,0,0,,3,4,0.75,1,7,8,6,1,1,3,5,21,14.6
10,10,2/21/99,20-182,LAL,@,SEA,L (-3),1,40:22:00,8,20,0.4,1,6,0.167,6,6,1,4,9,13,2,1,0,4,5,23,14.1
11,11,2/22/99,20-183,LAL,@,DEN,L (-4),1,45:32:00,8,15,0.533,1,3,0.333,9,11,0.818,1,12,13,9,1,0,4,4,26,23.9
12,12,2/23/99,20-184,LAL,@,VAN,L (-10),1,35:24:00,5,21,0.238,0,6,0,1,3,0.333,2,3,5,2,0,0,5,5,11,-5.8
13,13,2/25/99,20-186,LAL,@,LAC,W (+15),1,24:40:00,2,6,0.333,0,1,0,3,4,0.75,1,5,6,2,1,0,2,1,7,5.4
14,14,2/26/99,20-187,LAL,,LAC,W (+16),1,33:46:00,7,10,0.7,0,0,,8,10,0.8,0,4,4,0,1,2,6,6,22,12.2
15,15,2/28/99,20-189,LAL,,HOU,W (+16),1,39:36:00,8,20,0.4,0,2,0,2,2,1,0,5,5,3,1,1,4,2,18,7.7
16,16,3/1/99,20-190,LAL,@,PHO,W (+6),1,26:56:00,3,11,0.273,0,1,0,4,5,0.8,1,3,4,2,1,1,3,5,10,2.8
