Rk,G,Date,Age,Tm,,Opp,W/L,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc
17,17,3/3/99,20-192,LAL,,PHO,W (+6),1,42:02:00,11,19,0.579,0,0,,10,12,0.833,0,5,5,5,2,4,4,0,32,28.1
18,18,3/5/99,20-194,LAL,,SEA,W (+3),1,43:19:00,8,15,0.533,0,0,,4,4,1,2,3,5,2,1,1,2,2,20,15.3
19,19,3/7/99,20-196,LAL,@,UTA,W (+8),1,37:37:00,7,16,0.438,0,2,0,10,13,0.769,2,2,4,1,0,1,5,5,24,10.8
20,20,3/9/99,20-198,LAL,@,LAC,W (+4),1,28:05:00,4,7,0.571,0,0,,8,10,0.8,1,1,2,5,2,0,4,4,16,12.8
21,21,3/10/99,20-199,LAL,,LAC,W (+19),1,27:30:00,4,14,0.286,0,0,,1,2,0.5,2,2,4,4,0,0,3,3,9,1
22,22,3/12/99,20-201,LAL,,GSW,W (+11),1,41:58:00,7,13,0.538,0,0,,4,4,1,0,4,4,3,5,1,2,3,18,17.5
23,23,3/14/99,20-203,LAL,@,SAC,L (-4),1,42:36:00,11,19,0.579,1,6,0.167,6,6,1,2,8,10,4,2,0,6,1,29,22.3
24,24,3/16/99,20-205,LAL,@,MIN,W (+6),1,38:59:00,6,12,0.5,1,2,0.5,8,10,0.8,2,7,9,3,0,0,0,3,21,18.6
25,25,3/18/99,20-207,LAL,@,CLE,L (-7),1,36:47:00,4,12,0.333,0,1,0,6,6,1,1,3,4,5,0,0,2,5,14,8.3
26,26,3/19/99,20-208,LAL,@,PHI,L (-15),1,40:23:00,9,16,0.563,1,4,0.25,4,4,1,0,2,2,2,1,1,5,1,23,13.7
27,27,3/21/99,20-210,LAL,@,ORL,W (+11),1,44:37:00,15,24,0.625,2,2,1,6,7,0.857,0,3,3,4,2,1,4,3,38,28
28,28,3/22/99,20-211,LAL,@,DAL,W (+3),1,36:36:00,8,17,0.471,0,0,,5,5,1,0,2,2,2,2,1,1,0,21,16
29,29,3/24/99,20-213,LAL,,PHO,L (-5),1,38:51:00,10,22,0.455,0,3,0,5,7,0.714,1,2,3,2,1,2,5,3,25,11.7
30,30,3/26/99,20-215,LAL,,SAC,L (-2),1,39:57:00,10,17,0.588,1,1,1,5,6,0.833,0,0,0,6,2,3,2,0,26,24
31,31,3/28/99,20-217,LAL,,NYK,W (+8),1,39:13:00,11,20,0.55,0,0,,7,8,0.875,0,5,5,3,5,1,2,3,29,25.1
32,32,3/29/99,20-218,LAL,,VAN,W (+18),1,33:59:00,7,17,0.412,0,1,0,6,6,1,3,0,3,3,3,3,2,2,20,17.4
33,33,4/2/99,20-222,LAL,@,PHO,W (+1),1,40:58:00,7,20,0.35,0,0,,4,4,1,0,3,3,4,2,2,4,3,18,8.7
34,34,4/3/99,20-223,LAL,,GSW,L (-5),1,38:55:00,5,15,0.333,0,1,0,7,9,0.778,1,1,2,2,1,0,2,2,17,8.3
35,35,4/5/99,20-225,LAL,,DEN,W (+13),1,36:43:00,8,12,0.667,4,4,1,6,7,0.857,1,1,2,3,0,0,0,1,26,23.1
36,36,4/6/99,20-226,LAL,,UTA,L (-13),1,35:30:00,6,14,0.429,0,2,0,3,4,0.75,2,0,2,3,0,1,1,3,15,9.2
37,37,4/7/99,20-227,LAL,@,SAC,W (+15),1,42:29:00,7,18,0.389,0,1,0,4,4,1,0,2,2,7,6,0,8,4,18,10.1
38,38,4/9/99,20-229,LAL,,MIN,W (+7),1,36:56:00,7,14,0.5,1,3,0.333,3,4,0.75,2,1,3,7,1,0,1,2,18,16.4
39,39,4/11/99,20-231,LAL,,SEA,L (-4),1,44:19:00,8,21,0.381,0,4,0,9,10,0.9,2,3,5,9,1,0,0,6,25,20.3
40,40,4/13/99,20-233,LAL,@,POR,L (-27),1,39:03:00,7,19,0.368,0,2,0,6,7,0.857,0,0,0,2,0,0,2,1,20,8.1
41,41,4/17/99,20-237,LAL,@,UTA,L (-16),1,42:05:00,6,16,0.375,2,4,0.5,3,5,0.6,0,5,5,5,0,0,4,2,17,7.6
42,42,4/19/99,20-239,LAL,,VAN,W (+15),1,36:22:00,6,11,0.545,0,3,0,5,6,0.833,0,4,4,8,1,0,1,4,17,16.5
43,43,4/20/99,20-240,LAL,@,GSW,W (+4),1,40:22:00,10,17,0.588,3,4,0.75,4,5,0.8,3,2,5,5,1,3,5,3,27,21.8
44,44,4/21/99,20-241,LAL,@,POR,L (-6),1,45:26:00,7,15,0.467,2,5,0.4,6,7,0.857,2,4,6,4,2,1,6,4,22,14.4
45,45,4/24/99,20-244,LAL,@,SAS,L (-27),1,38:04:00,5,14,0.357,0,2,0,1,2,0.5,0,4,4,4,2,1,2,3,11,6.3
46,46,4/26/99,20-246,LAL,@,HOU,L (-22),1,34:38:00,3,14,0.214,1,3,0.333,2,2,1,1,4,5,2,1,0,1,2,9,2.9
47,47,4/29/99,20-249,LAL,,POR,W (+19),1,37:32:00,5,11,0.455,0,2,0,5,6,0.833,0,6,6,7,2,2,6,2,15,12.2
48,48,5/2/99,20-252,LAL,@,SEA,W (+7),1,43:38:00,12,20,0.6,1,2,0.5,3,4,0.75,2,4,6,4,2,3,3,5,28,22.9
49,49,5/3/99,20-253,LAL,,DAL,W (+13),1,39:52:00,6,12,0.5,0,0,,5,5,1,0,4,4,10,3,1,5,4,17,16.3
50,50,5/5/99,20-255,LAL,,POR,W (+28),1,21:48,4,5,0.8,0,0,,3,5,0.6,1,4,5,1,0,0,1,2,11,9.1
