Rk,G,Date,Age,Tm,,Opp,W/L,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc
1,1,12/1/99,21-100,LAL,,GSW,W (+18),0,29:52:00,7,18,0.389,0,3,0,5,6,0.833,3,3,6,3,0,0,2,4,19,10.3
2,2,12/3/99,21-102,LAL,,POR,W (+13),0,34:09:00,6,15,0.4,0,1,0,11,13,0.846,2,6,8,0,2,1,0,4,23,18.4
3,3,12/5/99,21-104,LAL,,ORL,W (+17),0,25:25:00,6,12,0.5,2,3,0.667,1,2,0.5,0,3,3,3,1,1,4,2,15,8.5
4,4,12/7/99,21-106,LAL,,WAS,W (+11),0,30:37:00,5,13,0.385,0,1,0,11,14,0.786,0,1,1,2,2,0,3,4,21,11.8
5,5,12/8/99,21-107,LAL,@,SAC,L (-12),1,41:45:00,11,19,0.579,1,2,0.5,4,5,0.8,0,6,6,5,1,0,6,1,27,17.6
6,6,12/11/99,21-110,LAL,@,VAN,W (+12),1,39:19:00,5,12,0.417,0,0,,4,4,1,1,5,6,7,0,5,2,3,14,15
7,7,12/12/99,21-111,LAL,,DET,W (+8),1,35:15:00,11,24,0.458,0,2,0,4,5,0.8,1,4,5,6,1,1,3,5,26,16
8,8,12/14/99,21-113,LAL,,LAC,W (+27),1,30:27:00,5,12,0.417,0,1,0,8,9,0.889,0,3,3,3,2,2,1,1,18,16.2
9,9,12/16/99,21-115,LAL,@,ATL,W (+7),1,40:24:00,10,19,0.526,0,1,0,10,11,0.909,1,6,7,2,0,1,0,6,30,22.5
10,10,12/17/99,21-116,LAL,@,MIN,W (+9),1,44:30:00,10,24,0.417,0,2,0,8,9,0.889,3,4,7,12,1,0,4,5,28,21.5
11,11,12/19/99,21-118,LAL,@,TOR,W (+6),1,40:23:00,9,20,0.45,0,0,,8,11,0.727,0,3,3,3,3,0,4,5,26,14.4
