Rk,G,Date,Age,Tm,,Opp,W/L,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
1,1,10/30/01,23-068,LAL,,POR,W (+11),1,42:36:00,11,24,0.458,1,1,1,6,8,0.75,2,5,7,4,3,1,2,0,29,23.2,4
2,2,11/1/01,23-070,LAL,@,UTA,W (+4),1,43:03:00,11,22,0.5,1,3,0.333,16,19,0.842,1,5,6,8,3,1,2,3,39,35.1,7
3,3,11/2/01,23-071,LAL,,PHO,W (+23),1,37:40:00,9,14,0.643,0,0,,6,7,0.857,3,3,6,9,2,1,7,4,24,20.8,19
4,4,11/4/01,23-073,LAL,,UTA,W (+4),1,44:17:00,13,21,0.619,0,0,,12,15,0.8,1,5,6,7,3,1,5,5,38,31.1,3
5,5,11/9/01,23-078,LAL,,MEM,W (+24),1,33:01:00,5,15,0.333,1,2,0.5,2,2,1,1,5,6,7,5,3,2,0,13,16.7,29
6,6,11/11/01,23-080,LAL,,ORL,W (+13),1,32:54:00,8,13,0.615,0,0,,12,14,0.857,2,3,5,8,1,1,4,6,28,24.5,6
7,7,11/15/01,23-084,LAL,@,HOU,W (+1),1,49:19:00,13,27,0.481,0,2,0,5,5,1,2,1,3,5,1,0,2,3,31,20.3,-3
8,8,11/16/01,23-085,LAL,@,PHO,L (-12),1,42:13:00,5,15,0.333,1,3,0.333,7,8,0.875,1,2,3,5,2,0,2,2,18,13.1,-18
9,9,11/18/01,23-087,LAL,,SAC,W (+8),1,42:30:00,10,19,0.526,0,0,,9,10,0.9,2,3,5,8,1,0,4,3,29,23,7
10,10,11/20/01,23-089,LAL,@,LAC,W (+5),1,41:39:00,7,14,0.5,3,3,1,8,10,0.8,0,4,4,12,3,1,4,2,25,25.7,3
11,11,11/21/01,23-090,LAL,@,DEN,W (+21),1,36:53:00,9,15,0.6,1,2,0.5,5,6,0.833,3,10,13,7,2,0,4,4,24,23.1,15
12,12,11/23/01,23-092,LAL,,GSW,W (+16),1,26:33:00,11,14,0.786,0,1,0,6,6,1,2,1,3,3,2,0,1,4,28,25.8,10
13,13,11/25/01,23-094,LAL,,DEN,W (+7),1,40:11:00,10,19,0.526,0,1,0,5,7,0.714,0,7,7,7,2,0,1,1,25,22.5,7
14,14,11/27/01,23-096,LAL,,MIL,W (+19),1,38:49:00,11,23,0.478,3,4,0.75,8,10,0.8,4,4,8,4,1,1,1,4,33,26.4,14
15,15,11/30/01,23-099,LAL,@,SEA,W (+15),1,34:24:00,10,19,0.526,0,4,0,10,11,0.909,1,2,3,3,1,0,3,4,30,20.1,22
16,16,12/1/01,23-100,LAL,,MIN,W (+26),1,26:32:00,6,15,0.4,1,1,1,5,6,0.833,0,3,3,5,2,0,0,1,18,15.5,11
17,17,12/5/01,23-104,LAL,,DAL,W (+4),1,42:07:00,9,23,0.391,0,2,0,1,2,0.5,2,7,9,5,3,0,4,1,19,11.7,6
18,18,12/7/01,23-106,LAL,@,SAC,L (-6),1,41:26:00,9,23,0.391,0,4,0,5,5,1,2,4,6,3,0,0,2,3,23,12,-7
19,19,12/11/01,23-110,LAL,,SEA,L (-11),1,37:51:00,7,23,0.304,0,3,0,2,3,0.667,1,2,3,1,0,0,1,5,16,1.3,-14
20,20,12/14/01,23-113,LAL,,LAC,W (+30),1,37:39:00,9,18,0.5,0,1,0,7,7,1,0,4,4,7,3,2,3,3,25,22.3,18
21,21,12/16/01,23-115,LAL,,GSW,W (+16),1,31:57:00,10,12,0.833,0,1,0,8,9,0.889,0,5,5,3,2,1,1,2,28,27.7,13
22,22,12/20/01,23-119,LAL,@,HOU,W (+6),1,42:29:00,9,26,0.346,1,1,1,8,8,1,2,3,5,5,1,1,2,3,27,16.7,5
23,23,12/21/01,23-120,LAL,@,MEM,L (-6),1,36:56:00,15,23,0.652,1,4,0.25,5,5,1,0,4,4,6,0,0,3,3,36,27.1,-11
