Rk,G,Date,Age,Tm,,Opp,W/L,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
1,,10/28/03,25-066,LAL,,DAL,W (+16),Did Not Dress,,,,,,,,,,,,,,,,,,,,,
2,1,11/1/03,25-070,LAL,@,PHO,W (+4),1,36:30:00,4,12,0.333,0,1,0,7,10,0.7,0,6,6,4,0,1,2,4,15,8.7,-3
3,2,11/2/03,25-071,LAL,,GSW,W (+15),1,35:03:00,7,12,0.583,2,3,0.667,5,5,1,1,3,4,2,5,1,4,4,21,18.5,13
4,3,11/4/03,25-073,LAL,@,MIL,W (+6),1,40:22:00,10,22,0.455,2,4,0.5,9,10,0.9,5,2,7,8,1,2,0,3,31,30.1,7
5,4,11/6/03,25-075,LAL,@,SAS,W (+3),1,48:56:00,16,29,0.552,1,4,0.25,4,5,0.8,2,3,5,2,4,0,2,4,37,26.8,4
6,5,11/7/03,25-076,LAL,@,NOH,L (-19),1,36:58:00,4,14,0.286,0,4,0,3,4,0.75,1,3,4,3,1,0,3,3,11,2.9,-24
7,6,11/10/03,25-079,LAL,@,MEM,L (-10),1,33:22:00,5,15,0.333,0,2,0,9,10,0.9,1,3,4,5,2,0,6,4,19,9.6,-3
8,7,11/12/03,25-081,LAL,,TOR,W (+15),1,37:05:00,5,11,0.455,1,1,1,8,10,0.8,1,2,3,4,1,0,3,4,19,13,1
9,8,11/14/03,25-083,LAL,,DET,W (+5),1,37:27:00,6,11,0.545,0,0,,4,4,1,0,3,3,1,3,2,1,5,16,13.7,12
10,9,11/16/03,25-085,LAL,,MIA,W (+22),1,32:53:00,6,10,0.6,0,1,0,15,16,0.938,1,3,4,6,2,0,3,2,27,26,21
11,10,11/18/03,25-087,LAL,@,DET,L (-10),1,40:45:00,4,14,0.286,0,2,0,11,11,1,1,1,2,3,0,0,0,3,19,12.7,-9
12,11,11/19/03,25-088,LAL,@,NYK,W (+21),1,33:42:00,7,13,0.538,0,0,,7,9,0.778,1,1,2,4,1,0,1,5,21,15.7,17
13,12,11/21/03,25-090,LAL,,CHI,W (+7),1,36:50:00,10,19,0.526,0,1,0,8,11,0.727,1,4,5,4,3,1,3,4,28,21.3,16
14,13,11/23/03,25-092,LAL,,MEM,W (+32),1,31:37:00,8,16,0.5,1,2,0.5,11,12,0.917,1,2,3,3,4,0,1,2,28,25.2,20
15,14,11/26/03,25-095,LAL,,WAS,W (+21),1,25:29:00,7,13,0.538,1,3,0.333,7,7,1,0,4,4,4,2,0,3,3,22,17.5,15
