Rk,G,Date,Age,Tm,,Opp,,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
48,48,3/23/12,33-213,LAL,,POR,W (+7),1,36:02:00,5,17,0.294,1,7,0.143,7,8,0.875,2,3,5,4,1,0,4,1,18,9.4,2
49,49,3/25/12,33-215,LAL,,MEM,L (-6),1,38:27:00,7,15,0.467,1,4,0.25,3,3,1,1,2,3,3,2,0,3,3,18,11.5,-6
50,50,3/27/12,33-217,LAL,@,GSW,W (+3),1,37:13:00,9,24,0.375,1,5,0.2,11,12,0.917,2,3,5,5,0,0,3,1,30,18.8,3
51,51,3/29/12,33-219,LAL,,OKC,L (-9),1,40:47:00,7,25,0.28,1,3,0.333,8,10,0.8,1,8,9,2,0,0,0,1,23,11.6,2
52,52,3/31/12,33-221,LAL,,NOH,W (+3),1,38:19:00,3,21,0.143,1,8,0.125,4,5,0.8,1,2,3,5,3,0,1,4,11,2.3,4
53,53,4/1/12,33-222,LAL,,GSW,W (+8),1,37:10:00,16,28,0.571,3,3,1,5,7,0.714,0,3,3,5,0,0,3,3,40,26.2,13
54,54,4/3/12,33-224,LAL,,NJN,W (+4),1,35:45:00,10,16,0.625,3,6,0.5,1,1,1,0,7,7,3,1,0,3,1,24,18.6,1
55,55,4/4/12,33-225,LAL,@,LAC,W (+5),1,36:40:00,13,19,0.684,2,3,0.667,3,5,0.6,1,4,5,6,0,1,2,2,31,26.1,8
56,56,4/6/12,33-227,LAL,,HOU,L (-5),1,36:56:00,8,20,0.4,1,4,0.25,11,11,1,0,2,2,0,0,0,1,1,28,16.4,-16
57,,4/7/12,33-228,LAL,@,PHO,L (-20),Did Not Dress,,,,,,,,,,,,,,,,,,,,,
58,,4/9/12,33-230,LAL,@,NOH,W (+2),Did Not Dress,,,,,,,,,,,,,,,,,,,,,
59,,4/11/12,33-232,LAL,@,SAS,W (+14),Did Not Dress,,,,,,,,,,,,,,,,,,,,,
60,,4/13/12,33-234,LAL,,DEN,W (+6),Did Not Dress,,,,,,,,,,,,,,,,,,,,,
61,,4/15/12,33-236,LAL,,DAL,W (+4),Did Not Dress,,,,,,,,,,,,,,,,,,,,,
62,,4/17/12,33-238,LAL,,SAS,L (-21),Did Not Dress,,,,,,,,,,,,,,,,,,,,,
63,,4/18/12,33-239,LAL,@,GSW,W (+12),Did Not Dress,,,,,,,,,,,,,,,,,,,,,
64,57,4/20/12,33-241,LAL,@,SAS,L (-24),1,29:49:00,7,12,0.583,1,3,0.333,3,4,0.75,0,2,2,1,0,0,1,2,18,11.5,-24
65,58,4/22/12,33-243,LAL,,OKC,W (+8),1,49:10:00,9,26,0.346,2,3,0.667,6,7,0.857,1,5,6,8,1,0,3,1,26,16.4,8
66,,4/26/12,33-247,LAL,@,SAC,L (-17),Did Not Dress,,,,,,,,,,,,,,,,,,,,,
